term,estimate_log_odds,std_error,z_value,p_value,estimate,conf_low,conf_high,outcome,outcome_label,term_clean
close_catLess Close,1.309848256698165,0.10882882550649368,12.035857693052177,2.3022877759565323e-33,3.705611367841009,2.993800823913151,4.586663047117546,supp_per,Peripheral Support,Closeness: Less Close (vs. Close)
close_catEspecially Close,-1.5946867940460268,0.09264524343071562,-17.212829660689565,2.1277607859648093e-66,0.2029720906152795,0.16926809311832824,0.24338709564086394,supp_per,Peripheral Support,Closeness: Especially Close (vs. Close)
freq_catLess than Monthly,0.22920364253895106,0.1969700548182531,1.1636471480420734,0.24456703607696187,1.2575981134079284,0.8548257218594982,1.8501467309697186,supp_per,Peripheral Support,Frequency: Less than Monthly (vs. Weekly)
freq_catMonthly,0.22037172173780914,0.10711714644504594,2.0572964184671028,0.039657721667430555,1.24654001049539,1.010476614111455,1.5377515679887441,supp_per,Peripheral Support,Frequency: Monthly (vs. Weekly)
freq_catDaily,-0.1260177411431279,0.08086220610845199,-1.5584257121814549,0.11913236541913386,0.8815992060669781,0.7523845883269744,1.0330051574636452,supp_per,Peripheral Support,Frequency: Daily (vs. Weekly)
pos_catTop 5,-0.06869597393563842,0.07983496905777017,-0.8604747361513806,0.389527404035245,0.9336104788544363,0.7983784759818359,1.0917485283591746,supp_per,Peripheral Support,Salience: Top 5 (vs. Middle 10)
pos_catBottom 5,-0.18024032204677617,0.11281334228833725,-1.5976862168138208,0.11011282775789748,0.8350695016829068,0.6694127302835892,1.0417206621474284,supp_per,Peripheral Support,Salience: Bottom 5 (vs. Middle 10)
duration_cat< 2 Years,-0.005784587759050866,0.09693920956316268,-0.05967232232569219,0.9524166160250604,0.9942321107551981,0.8221886257766273,1.2022758027368918,supp_per,Peripheral Support,Duration: < 2 Years (vs. 2-4 Years)
duration_cat5-10 Years,-0.7092839635606425,0.1581456345068623,-4.485005013084095,7.291222037127276e-6,0.49199635868663455,0.3608657017441505,0.6707770114781525,supp_per,Peripheral Support,Duration: 5-10 Years (vs. 2-4 Years)
duration_cat> 10 Years,-0.32434561207782164,0.2020601266002484,-1.6051935507271076,0.10845121633405701,0.7230003215511047,0.48656564161746063,1.0743246547892755,supp_per,Peripheral Support,Duration: > 10 Years (vs. 2-4 Years)
role_catFamily,1.7452903516802643,0.1931791301592857,9.034569884651548,1.6464864062950818e-19,5.727564241917563,3.9222256344198905,8.363871740934322,supp_per,Peripheral Support,Role: Family (vs. Friend)
role_catRomantic Partner,-0.2507306648822852,0.35163841773711135,-0.7130354711973881,0.4758238078960308,0.7782319485279378,0.39065050663132905,1.5503498790573942,supp_per,Peripheral Support,Role: Romantic Partner (vs. Friend)
role_catAcquaintance,2.2510341118174075,0.2013464570175561,11.179904256379004,5.11451344530018e-29,9.497552290888363,6.400621250613751,14.092928793358803,supp_per,Peripheral Support,Role: Acquaintance (vs. Friend)
role_catOther,2.487399653152015,0.19442415099602944,12.793676302090747,1.7785714508471084e-37,12.029953361770497,8.218011889306247,17.610071612903244,supp_per,Peripheral Support,Role: Other (vs. Friend)
ego_genderMen,0.5681363877792508,0.1560969267002333,3.639638523250962,2.730210349921887e-4,1.764974756080921,1.2997688116324773,2.3966845963093797,supp_per,Peripheral Support,Ego Gender: Men (vs. Women)
same_dormTRUE,-0.25334134614208925,0.1150763387192206,-2.201506834174026,0.027700163417064414,0.7762028827386018,0.6194700218077499,0.9725909147524436,supp_per,Peripheral Support,Context: Same Dormitory
roommateTRUE,0.15507768622847642,0.16778097764547206,0.9242864620574676,0.3553371893810412,1.1677486755718607,0.8404876415274741,1.6224354790293005,supp_per,Peripheral Support,Context: Roommate
